Pledge Date,Amount,Stage,Campaign Name,Zip/Postal Code,Account ID
8/10/05,$100.00 ,Posted,Annual Giving (Not Year End),22101,0015000000VRRBU
9/13/05,"$5,000.00 ",Posted,Annual Giving (Not Year End),94957,0015000000VRR1A
11/15/05,"$1,000.00 ",Posted,FY06 Annual Appeal (2005),94010,0015000000VRR12
11/15/05,$150.00 ,Posted,FY06 Annual Appeal (2005),10021,0015000000VRR59
11/22/05,$100.00 ,Posted,FY06 Annual Appeal (2005),95476,0015000000VRR0X
11/22/05,$50.00 ,Posted,FY06 Annual Appeal (2005),94920,0015000000VRR0s
11/22/05,$100.00 ,Posted,FY06 Annual Appeal (2005),94115,0015000000VRR0a
11/22/05,"$50,000.00 ",Posted,FY06 Annual Appeal (2005),94062,0015000000VRR1d
11/23/05,$100.00 ,Posted,FY06 Annual Appeal (2005),94920,0015000000VRR0Y
11/23/05,$500.00 ,Posted,FY06 Annual Appeal (2005),94965,0015000000VRR2G
11/23/05,$500.00 ,Posted,FY06 Annual Appeal (2005),94941,0015000000VRR1j
11/26/05,$100.00 ,Posted,FY06 Annual Appeal (2005),94110,0015000000VRR24
12/2/05,"$1,000.00 ",Posted,FY06 Annual Appeal (2005),94941,0015000000VRR0M
12/2/05,$200.00 ,Posted,FY06 Annual Appeal (2005),94118,0015000000VRR2s
12/2/05,$250.00 ,Posted,FY06 Annual Appeal (2005),94116,0015000000VRR13
12/2/05,$200.00 ,Posted,FY06 Annual Appeal (2005),94304,0015000000VRR1P
12/2/05,$500.00 ,Posted,FY06 Annual Appeal (2005),94115,0015000000VRRFm
12/5/05,$50.00 ,Posted,Annual Giving (Not Year End),94110,0015000000VRRGB
12/5/05,"$5,000.00 ",Posted,FY06 Annual Appeal (2005),94025,0015000000VRR0O
12/5/05,$500.00 ,Posted,FY06 Annual Appeal (2005),98121,0015000000VRRFT
12/8/05,$20.00 ,Posted,FY06 Annual Appeal (2005),94609,0015000000VRR1e
12/8/05,$100.00 ,Posted,FY06 Annual Appeal (2005),33301,0015000000VRR2P
12/9/05,$100.00 ,Posted,FY06 Annual Appeal (2005),94123,0015000000VRR1y
12/9/05,$200.00 ,Posted,FY06 Annual Appeal (2005),94611,0015000000VRR0W
12/10/05,$500.00 ,Posted,FY06 Annual Appeal (2005),94114,0015000000VRRF4
12/12/05,$500.00 ,Posted,FY06 Annual Appeal (2005),94133,0015000000VRR3v
12/12/05,$50.00 ,Posted,FY06 Annual Appeal (2005),10021,0015000000VRR59
12/13/05,$75.00 ,Posted,FY06 Annual Appeal (2005),94111,0015000000VRREh
12/14/05,$500.00 ,Posted,FY06 Annual Appeal (2005),94549,0015000000VRR1I
12/19/05,"$1,000.00 ",Posted,FY06 Annual Appeal (2005),2144,0015000000VRR0u
